"2024-12-31 16:09:01.388589";"Start the program"
"2024-12-31 16:09:01.790459";"[]"
"2024-12-31 16:09:02.409454";"[]"
"2024-12-31 16:09:02.436254";"[]"
"2024-12-31 16:09:02.472771";"[]"
"2024-12-31 16:09:02.508579";"[]"
"2024-12-31 16:09:02.678715";"[]"
"2024-12-31 16:09:02.811685";"[]"
"2024-12-31 16:09:02.948227";"[]"
"2024-12-31 16:09:03.082038";"[]"
"2024-12-31 16:09:03.219187";"[]"
"2024-12-31 16:09:03.353133";"[]"
"2024-12-31 16:09:03.490270";"[]"
"2024-12-31 16:09:03.629732";"[]"
"2024-12-31 16:09:03.767244";"[]"
"2024-12-31 16:09:03.905912";"[]"
"2024-12-31 16:09:04.037282";"[]"
"2024-12-31 16:09:04.177153";"[]"
"2024-12-31 16:09:04.308298";"[]"
"2024-12-31 16:09:04.450492";"[]"
"2024-12-31 16:09:04.580973";"[]"
"2024-12-31 16:09:04.725012";"[]"
"2024-12-31 16:09:04.857692";"[]"
"2024-12-31 16:09:05.452434";"[]"
"2024-12-31 16:09:05.475489";"[]"
"2024-12-31 16:09:05.638133";"['person']"
"2024-12-31 16:09:05.718625";"['person']"
"2024-12-31 16:09:05.742210";"['person']"
"2024-12-31 16:09:05.765950";"['person']"
"2024-12-31 16:09:05.789763";"['person']"
"2024-12-31 16:09:05.813509";"['person']"
"2024-12-31 16:09:05.838463";"['person']"
"2024-12-31 16:09:05.864435";"['person']"
"2024-12-31 16:09:05.888932";"['person']"
"2024-12-31 16:09:05.912734";"['person']"
"2024-12-31 16:09:05.937946";"['person']"
"2024-12-31 16:09:05.967809";"['person']"
"2024-12-31 16:09:05.997305";"['person']"
"2024-12-31 16:09:06.026778";"['person']"
"2024-12-31 16:09:06.063908";"['person']"
"2024-12-31 16:09:06.097189";"['person' 'clock']"
"2024-12-31 16:09:06.126788";"['person']"
"2024-12-31 16:09:06.163128";"['person']"
"2024-12-31 16:09:06.195750";"['person' 'clock']"
"2024-12-31 16:09:06.229239";"['person']"
"2024-12-31 16:09:06.267479";"['person']"
"2024-12-31 16:09:06.304695";"['person' 'bird' 'remote']"
"2024-12-31 16:09:06.334354";"['person']"
"2024-12-31 16:09:06.367657";"['person' 'bird']"
"2024-12-31 16:09:06.400823";"['person']"
"2024-12-31 16:09:06.427677";"['person']"
"2024-12-31 16:09:06.464429";"['person']"
"2024-12-31 16:09:06.495210";"['person']"
"2024-12-31 16:09:06.527251";"['person']"
"2024-12-31 16:09:06.565884";"['person']"
"2024-12-31 16:09:06.596507";"['person' 'bird']"
"2024-12-31 16:09:06.630018";"['person' 'bird']"
"2024-12-31 16:09:06.664553";"['person']"
"2024-12-31 16:09:06.696049";"['person' 'bird']"
"2024-12-31 16:09:06.728903";"['person']"
"2024-12-31 16:09:06.766532";"['person' 'bird']"
"2024-12-31 16:09:06.796541";"['person' 'bird']"
"2024-12-31 16:09:06.827327";"['person' 'bird']"
"2024-12-31 16:09:06.863142";"['person' 'bird']"
"2024-12-31 16:09:06.896360";"['person' 'bird']"
"2024-12-31 16:09:06.926920";"['person']"
"2024-12-31 16:09:06.964640";"['person']"
"2024-12-31 16:09:06.994949";"['person']"
"2024-12-31 16:09:07.027246";"['person']"
"2024-12-31 16:09:07.065068";"['person']"
"2024-12-31 16:09:07.094565";"['person']"
"2024-12-31 16:09:07.128422";"['person']"
"2024-12-31 16:09:07.168120";"['person' 'bird']"
"2024-12-31 16:09:07.199039";"['person' 'bird']"
"2024-12-31 16:09:07.229987";"['person' 'bird']"
"2024-12-31 16:09:07.265319";"['person' 'bird']"
"2024-12-31 16:09:07.294471";"['person']"
"2024-12-31 16:09:07.327152";"['person']"
"2024-12-31 16:09:07.363058";"['person']"
"2024-12-31 16:09:07.395105";"['person']"
"2024-12-31 16:09:07.427503";"['person' 'bird']"
"2024-12-31 16:09:07.465268";"['person' 'bird']"
"2024-12-31 16:09:07.497246";"['person' 'bird']"
"2024-12-31 16:09:07.528355";"['person' 'bird']"
"2024-12-31 16:09:07.565316";"['person' 'bird']"
"2024-12-31 16:09:07.595776";"['person' 'bird']"
"2024-12-31 16:09:07.626094";"['person' 'bird']"
"2024-12-31 16:09:07.665965";"['person' 'bird']"
"2024-12-31 16:09:07.698347";"['person' 'bird']"
"2024-12-31 16:09:07.728324";"['person' 'bird']"
"2024-12-31 16:09:07.766992";"['person' 'bird']"
"2024-12-31 16:09:07.801503";"['person' 'bird']"
"2024-12-31 16:09:07.828671";"['person' 'bird']"
"2024-12-31 16:09:07.862407";"['person' 'bird']"
"2024-12-31 16:09:07.897139";"['person' 'bird']"
"2024-12-31 16:09:07.928864";"['person' 'bird']"
"2024-12-31 16:09:07.964876";"['person' 'bird']"
"2024-12-31 16:09:07.997344";"['person' 'bird']"
"2024-12-31 16:09:08.029322";"['person' 'bird']"
"2024-12-31 16:09:08.064900";"['person']"
"2024-12-31 16:09:08.095381";"['person']"
"2024-12-31 16:09:08.126427";"['person' 'bird']"
"2024-12-31 16:09:08.163994";"['person']"
"2024-12-31 16:09:08.196414";"['person' 'bird']"
"2024-12-31 16:09:08.228781";"['person' 'bird']"
"2024-12-31 16:09:08.265309";"['person' 'bird']"
"2024-12-31 16:09:08.296604";"['person' 'bird']"
"2024-12-31 16:09:08.326977";"['person' 'bird']"
"2024-12-31 16:09:08.363429";"['person' 'bird']"
"2024-12-31 16:09:08.397218";"['person']"
"2024-12-31 16:09:08.429366";"['person' 'bird']"
"2024-12-31 16:09:08.464700";"['person']"
"2024-12-31 16:09:08.496600";"['person']"
"2024-12-31 16:09:08.528702";"['person']"
"2024-12-31 16:09:08.562912";"['person' 'bird']"
"2024-12-31 16:09:08.596847";"['person']"
"2024-12-31 16:09:08.626450";"['person' 'bird']"
"2024-12-31 16:09:08.665029";"['person' 'bird']"
"2024-12-31 16:09:08.696626";"['person' 'bird']"
"2024-12-31 16:09:08.728348";"['person' 'bird']"
"2024-12-31 16:09:08.764305";"['person' 'bird']"
"2024-12-31 16:09:08.796127";"['person' 'bird']"
"2024-12-31 16:09:08.828321";"['person' 'bird']"
"2024-12-31 16:09:08.865008";"['person' 'bird']"
"2024-12-31 16:09:08.894546";"['person' 'bird']"
"2024-12-31 16:09:08.928758";"['person' 'bird']"
"2024-12-31 16:09:08.968581";"['person' 'bird']"
"2024-12-31 16:09:08.998536";"['person' 'bird']"
"2024-12-31 16:09:09.028626";"['person' 'bird']"
"2024-12-31 16:09:09.062353";"['person' 'bird']"
"2024-12-31 16:09:09.099506";"['person']"
"2024-12-31 16:09:09.126428";"['person']"
"2024-12-31 16:09:09.164637";"['person' 'bird']"
"2024-12-31 16:09:09.196998";"['person' 'bird']"
"2024-12-31 16:09:09.229184";"['person' 'remote' 'bird']"
"2024-12-31 16:09:09.265349";"['person' 'bird' 'remote']"
"2024-12-31 16:09:09.296321";"['person' 'bird']"
"2024-12-31 16:09:09.326663";"['person' 'bird']"
"2024-12-31 16:09:09.362530";"['person' 'bird']"
"2024-12-31 16:09:09.398575";"['person' 'bird']"
"2024-12-31 16:09:09.432057";"['person' 'bird']"
"2024-12-31 16:09:09.466637";"['person' 'bird']"
"2024-12-31 16:09:09.496212";"['person' 'bird']"
"2024-12-31 16:09:09.528393";"['person' 'bird']"
"2024-12-31 16:09:09.565319";"['person' 'bird']"
"2024-12-31 16:09:09.596098";"['person' 'bird']"
"2024-12-31 16:09:09.628300";"['person' 'bird']"
"2024-12-31 16:09:09.668613";"['person' 'bird']"
"2024-12-31 16:09:09.698343";"['person' 'bird']"
"2024-12-31 16:09:09.729023";"['person' 'bird']"
"2024-12-31 16:09:09.765215";"['person' 'bird']"
"2024-12-31 16:09:09.799167";"['person' 'bird']"
"2024-12-31 16:09:09.827334";"['person' 'bird']"
"2024-12-31 16:09:09.862712";"['person' 'bird']"
"2024-12-31 16:09:09.902305";"['person' 'bird']"
"2024-12-31 16:09:09.929065";"['person' 'bird']"
"2024-12-31 16:09:09.965696";"['person' 'bird']"
"2024-12-31 16:09:09.996950";"['person' 'bird']"
"2024-12-31 16:09:10.030517";"['person' 'bird']"
"2024-12-31 16:09:10.062770";"['person' 'bird']"
"2024-12-31 16:09:10.094378";"['person' 'bird']"
"2024-12-31 16:09:10.129853";"['person' 'bird']"
"2024-12-31 16:09:10.164683";"['person' 'bird']"
"2024-12-31 16:09:10.196428";"['person' 'bird']"
"2024-12-31 16:09:10.228088";"['person' 'bird']"
"2024-12-31 16:09:10.265114";"['person' 'bird']"
"2024-12-31 16:09:10.295228";"['person' 'bird']"
"2024-12-31 16:09:10.331780";"['person' 'bird']"
"2024-12-31 16:09:10.363227";"['person' 'bird']"
"2024-12-31 16:09:10.394202";"['person' 'bird']"
"2024-12-31 16:09:10.428993";"['person' 'bird']"
"2024-12-31 16:09:10.464702";"['person' 'bird']"
"2024-12-31 16:09:10.497813";"['person' 'bird']"
"2024-12-31 16:09:10.541975";"['person' 'bird']"
"2024-12-31 16:09:10.567461";"['person' 'bird']"
"2024-12-31 16:09:10.594393";"['person' 'bird']"
"2024-12-31 16:09:10.629306";"['person' 'bird']"
"2024-12-31 16:09:10.662594";"['person' 'bird']"
"2024-12-31 16:09:10.696822";"['person' 'bird']"
"2024-12-31 16:09:10.728613";"['person' 'bird']"
"2024-12-31 16:09:10.766315";"['person' 'bird']"
"2024-12-31 16:09:10.796684";"['person' 'bird']"
"2024-12-31 16:09:10.828746";"['person' 'bird']"
"2024-12-31 16:09:10.864732";"['person' 'bird']"
"2024-12-31 16:09:10.896971";"['person' 'bird']"
"2024-12-31 16:09:10.927922";"['person' 'bird']"
"2024-12-31 16:09:10.964837";"['person' 'bird']"
